track_id,track_name,artists,track_genre,tempo,danceability,energy,valence,acousticness,instrumentalness
6X7pjnNm5dHSUot6hp3KFU,Lover,Taylor Swift,pop,68.505,0.359,0.543,0.453,0.492,1.57e-05
57jOEZtoLQK4zF2x55bdkp,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",Rochak Kohli;Arijit Singh;Neha Kakkar,pop,87.029,0.718,0.382,0.499,0.585,0.0
3WRr1TGp0glkYj7hL4unH5,You Belong With Me (Taylor’s Version),Taylor Swift,pop,130.033,0.632,0.773,0.474,0.0623,0.0
3AYtDDIbG4DQxnEFELeFag,willow,Taylor Swift,pop,80.961,0.392,0.579,0.549,0.835,0.00179
14MGlCeQzAJj3EeznSGeEC,cardigan,Taylor Swift,pop,130.045,0.612,0.58,0.534,0.525,0.000414
3eH3HTKPBmxvbT7OgxjNit,"Kaanunna Kalyanam (From ""Sita Ramam (Telugu)"")",Vishal Chandrashekhar;Anurag Kulkarni;Sinduri Vishal,pop,180.2,0.502,0.425,0.72,0.664,0.0
0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Rema;Selena Gomez,pop,106.999,0.801,0.806,0.802,0.382,0.000669
1cKHdTo9u0ZymJdPGSh6nq,I Was Never There,The Weeknd;Gesaffelstein,pop,113.26,0.323,0.737,0.155,0.142,0.000162
6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,Joji,pop,169.914,0.44,0.317,0.268,0.891,4.78e-06
0MnmtOOke4uQVBMAjIgwVZ,After Hours,The Weeknd,pop,108.953,0.651,0.567,0.138,0.0934,0.00991
52KDAbgFGCXZQVlOXy2XIQ,Out of Time,The Weeknd,pop,93.023,0.629,0.763,0.809,0.244,0.0
2MugnVou4z1c7oh1kWHfZO,Starboy,The Weeknd;Daft Punk,pop,186.012,0.676,0.588,0.484,0.137,8.47e-06
2eyXrWRxc7g5yx0D4J3WTS,Out of Time,The Weeknd,pop,93.023,0.629,0.763,0.809,0.244,0.0
5G7pZ8G8NFvS1MQ9H4L7dC,Pal,Javed-Mohsin;Arijit Singh;Shreya Ghoshal,pop,133.885,0.51,0.502,0.321,0.71,0.0
5w0Xpt2YHT2Y3z3e4UUJP7,Kaise Hua,Vishal Mishra,pop,137.796,0.37,0.467,0.162,0.442,0.0
6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber,pop,153.96,0.601,0.741,0.441,0.185,2.91e-05
0Jfqd9wbqlDAT5wCrck0Dc,Starboy,The Weeknd;Daft Punk,pop,186.012,0.676,0.588,0.484,0.137,8.47e-06
0UZLaEOSIc5kg0cc7eszqC,Manjha,Vishal Mishra,pop,169.882,0.524,0.515,0.368,0.674,0.0
3dPlLOjFnKpGpakkhPEIgF,OG,Prem Dhillon,pop,96.706,0.594,0.625,0.517,0.00521,0.0
6IaHIJYxIG8xbosaRr25AC,Parshawan,Harnoor,pop,90.006,0.799,0.44,0.43,0.559,0.0
5XCa3ygRyz2R9avSi0CYJI,I Feel It Coming,The Weeknd;Daft Punk,pop,92.996,0.773,0.82,0.555,0.394,0.0
3HoQtJWvaadVDZPgQevKIh,Take My Breath - Single Version,The Weeknd,pop,120.996,0.747,0.739,0.523,0.0106,2.22e-05
0rMeOAvbQZ2RTG4B6L1M4p,Asal Mein,Darshan Raval,pop,114.106,0.656,0.551,0.329,0.721,1.26e-06
7LltNXuqCBGOAp1iwmAmB3,Blinding Lights,The Weeknd,pop,171.014,0.512,0.796,0.344,0.00147,0.000209
5Dt9HFzeBVmFtrk3BTiDEn,Blinding Lights,The Weeknd,pop,171.014,0.512,0.796,0.344,0.00147,0.000209
4O0ymDK32zylHELT506JPI,Blinding Lights,The Weeknd,pop,171.014,0.512,0.796,0.344,0.00147,0.000209
1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,pop,95.997,0.76,0.703,0.57,0.103,0.0
6h49LElLEJLbKfR6zdcFtf,Blinding Lights,The Weeknd,pop,171.014,0.512,0.796,0.344,0.00147,0.000209
1gcTc0NQrfZ6tJ2M2DIMOP,I Feel It Coming,The Weeknd;Daft Punk,pop,92.996,0.773,0.82,0.555,0.394,0.0
6qZyM6JV8ohLC4S2EL5sFh,Barbaadiyan,Sachet Tandon;Nikhita Gandhi;Madhubanti Bagchi;Sachin-Jigar,pop,126.966,0.758,0.57,0.567,0.00374,2.47e-06
1ccZZf0IQi5y0bHMl2aGDF,Gulabi Aankhen,Sanam,pop,105.914,0.636,0.647,0.44,0.422,0.0
1y1rQTkWmrZdJmjwuK07GC,"Kaise Hua (From ""Kabir Singh"")",Vishal Mishra,pop,137.839,0.385,0.464,0.15,0.452,0.0
6PO6EnP2QoP4vN27KmKvrj,Nah They Can’t,Prem Dhillon,pop,92.937,0.615,0.623,0.266,0.0893,0.0
2VrSkfinwUSNc7uAXiL0FA,Let Me Down Slowly / Mai Dhoondhne Ko Zamaney / Kabhi Jo Badal Barsey (Medley),ShaSings;Xtreeemit,pop,149.566,0.605,0.371,0.496,0.396,0.0
1hYaQRlsuEW4kMjjmjyow3,"Oh Sita Hey Rama (From ""Sita Ramam (Telugu)"")",Vishal Chandrashekhar;S.P. Charan;Ramya Behra,pop,170.013,0.636,0.425,0.548,0.591,0.0
09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,pop,134.17,0.461,0.593,0.175,0.17,0.0
70MVLulHguwdhGo7100hsU,Ik Lamha,Azaan Sami Khan,pop,140.047,0.581,0.557,0.333,0.671,0.0
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,pop,95.39,0.548,0.816,0.557,0.122,0.0
32765xcLM1fd6wQIpkN9A0,Hasi - Male Version,Ami Mishra,pop,147.935,0.296,0.581,0.231,0.433,0.0
3e7sxremeOE3wTySiOhGiP,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN;Sia,pop,180.042,0.259,0.437,0.0951,0.102,1.32e-06
09vHbIezp9NP31CZWysk3v,"Najaa (From ""Sooryavanshi"")",Tanishk Bagchi;Pav Dharia;Nikhita Gandhi,pop,93.97,0.786,0.727,0.697,0.0818,0.0
0zuqABAUKs8WLVq8vCmfst,Sun Saathiya,Priya Saraiya;Divya Kumar,pop,144.062,0.456,0.668,0.263,0.604,0.000145
7JVpb6CY3I1JwQCIEgw9XT,Ainak,Gulab Sidhu;Sukh Lotey,pop,90.039,0.817,0.682,0.605,0.245,1.84e-06
7doebiokA0utWXWcw7rD82,Baarishon Mein,Darshan Raval,pop,179.865,0.352,0.34,0.314,0.898,3.3e-06
6G699QfN1BWYWXfiblH51F,"Kusu Kusu (From ""Satyameva Jayate 2"")",Tanishk Bagchi;Zahrah S Khan;Dev Negi,pop,101.0,0.742,0.911,0.78,0.0137,0.00081
3IOgP2PSCTdoAID7VmMGEh,Ek Ladki Ko Dekha Toh Aisa Laga - Title Track,Darshan Raval;Rochak Kohli;R. D. Burman,pop,173.955,0.532,0.603,0.431,0.756,0.0
1stiSonuKkZqhI1o9nZ9MT,Raataan Lambiyan,Tanishk Bagchi;Jubin Nautiyal;Asees Kaur,pop,81.008,0.721,0.628,0.514,0.61,0.0
3OK2VUpcjQQZAqGHw95N4G,26 Blvd,Prem Dhillon,pop,173.913,0.649,0.799,0.558,0.0405,0.0
2n9ylYiF7urpXo36qBwr3g,Mera Dil Bhi Kitna Pagal Hai - Recreated Version,Stebin Ben,pop,94.017,0.601,0.733,0.375,0.333,1.73e-06
5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd,pop,118.051,0.68,0.826,0.644,0.0212,1.24e-05
4roFMBSQp7W4fYVxKMmhA5,Junoon,Mitraz,pop,107.988,0.607,0.593,0.211,0.2,0.0
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,pop,173.93,0.52,0.731,0.662,0.342,0.00101
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber;Daniel Caesar;Giveon,pop,90.03,0.677,0.696,0.464,0.321,0.0
3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,Coldplay,pop,90.027,0.491,0.693,0.412,0.211,6.92e-06
6epn3r7S14KUqlReYr77hA,Baby,Justin Bieber;Ludacris,pop,65.043,0.728,0.859,0.535,0.0401,0.0
0b11D9D0hMOYCIMN3OKreM,Into Your Arms (feat. Ava Max),Witt Lowry;Ava Max,pop,170.039,0.504,0.788,0.228,0.0134,0.0
3CzEMZd3QhEFlvWIayxvm9,2step,Ed Sheeran;Lil Baby,pop,95.055,0.693,0.643,0.477,0.138,0.0
2Z7uNIftWdTscLc6nomUR0,2step,Ed Sheeran;Lil Baby,pop,95.055,0.693,0.643,0.477,0.138,0.0
0VqOR7G0lz8BjKXWrDPBmF,2step,Ed Sheeran;Lil Baby,pop,95.055,0.693,0.643,0.477,0.138,0.0
6E9UwSfT80age2xknoMS7Y,"Tum Hi Aana (From ""Marjaavaan"")",Payal Dev;Jubin Nautiyal,pop,90.076,0.473,0.401,0.345,0.629,1.17e-05
2iVKskILTl0Zoyqhm6U7EH,2step,Ed Sheeran;Lil Baby,pop,95.055,0.693,0.643,0.477,0.138,0.0
4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction,pop,124.99,0.726,0.787,0.888,0.009,0.0
0wzPtKCOIaIYImBblrBcaC,2step,Ed Sheeran;Lil Baby,pop,95.055,0.693,0.643,0.477,0.138,0.0
3jf5303mzzJ96O8xFTcEn4,"Mann Bharryaa 2.0 (From ""Shershaah"")",B Praak,pop,90.831,0.428,0.467,0.193,0.68,0.0
4FQZ1qUU6ds4QKL9s74uV8,2step,Ed Sheeran;Lil Baby,pop,95.055,0.693,0.643,0.477,0.138,0.0
4eAWt9AjcjdNk1L2uIhFCT,2step,Ed Sheeran;Lil Baby,pop,95.055,0.693,0.643,0.477,0.138,0.0
4rtMPgzwPAWtNIjQneZpjP,2step,Ed Sheeran;Lil Baby,pop,95.055,0.693,0.643,0.477,0.138,0.0
0tjnLIbuF8mwLUKq3CNIdH,Jug Jug Jeeve,Sachet Tandon;Parampara Tandon;Sachin-Jigar,pop,90.097,0.559,0.632,0.699,0.413,0.0
2fqW8A7qmNqILZe4roj2Dx,Merry Christmas,Ed Sheeran;Elton John,pop,113.99,0.594,0.935,0.602,0.243,2.36e-06
7zhGGe03gWqlrZgE2n8qEf,Perfect,Ed Sheeran,pop,95.009,0.598,0.448,0.168,0.162,0.0
6tpun5UnFgWHm1zUBF9KOA,Perfect,Ed Sheeran,pop,95.009,0.598,0.448,0.168,0.162,0.0
7s2OAgMDtuwq8F3DaBhunU,Autumn Leaves,Ed Sheeran,pop,89.013,0.555,0.257,0.431,0.892,1.42e-06
055360csWJbFFGCLNxaTkx,Merry Christmas,Ed Sheeran;Elton John,pop,113.99,0.594,0.935,0.602,0.243,2.36e-06
1euRAecw6xEwkt6lPXMbFP,Shivers,Ed Sheeran,pop,141.02,0.788,0.859,0.822,0.281,0.0
3HfnBSgiXNqaexmmtnDB4j,Merry Christmas,Ed Sheeran;Elton John,pop,113.99,0.594,0.935,0.602,0.243,2.36e-06
4JWlQ6skcm0SuztTiapWeo,How Would You Feel (Paean),Ed Sheeran,pop,139.983,0.618,0.439,0.242,0.424,0.0
0kSXvy1MXTv5A7rbqF3qlF,Merry Christmas,Ed Sheeran;Elton John,pop,113.99,0.594,0.935,0.602,0.243,2.36e-06
0MbP1Nr6DLXB7HFXD7QVwU,Visiting Hours,Ed Sheeran,pop,149.609,0.471,0.396,0.263,0.77,0.0
7xrLgNBENSWmiu6s8lYIQ8,Overpass Graffiti,Ed Sheeran,pop,175.908,0.52,0.849,0.774,0.00253,0.0
2qnPHH7uVDyBCRFJJ0tvfh,Overpass Graffiti,Ed Sheeran,pop,175.908,0.52,0.849,0.774,0.00253,0.0
1iiCRJZbYDfXJJnAKwY7Ph,Castle On the Hill - Throttle Remix,Ed Sheeran;Throttle,pop,138.03,0.586,0.86,0.203,0.0412,0.0
1liUFogbLkZJV0uAdFjBUr,Bad Habits - Joel Corry Remix,Ed Sheeran;Joel Corry,pop,125.971,0.768,0.935,0.8,0.0488,0.00117
7hUxzSsK2OHjeKWkzeArIU,"Meri Jaan Meri Jaan (From ""Bachchhan Paandey"")",B Praak,pop,114.789,0.607,0.692,0.242,0.43,0.0
2jPjbk2mL9gK2R0eqrqEPh,Bad Habits - Joel Corry Remix,Ed Sheeran;Joel Corry,pop,125.971,0.768,0.935,0.8,0.0488,0.00117
66tlNiBE1g0a2IJgAkCIId,The Joker and the Queen,Ed Sheeran,pop,134.019,0.567,0.211,0.289,0.952,5.24e-05
4BoFJMLSO3ZoD48KgnslSe,Mere Humsafar (Original Score) [Female Version],Yashal Shahid,pop,143.691,0.442,0.444,0.386,0.744,0.0
1ZaeaGLhFSckG8sv1y7AWk,Kya Baat Ay,Harrdy Sandhu,pop,89.966,0.849,0.592,0.652,0.632,2.39e-06
5zfRl79umXWvKoA7p4KEPa,"Tip Tip (From ""Sooryavanshi"")",Tanishk Bagchi;Udit Narayan;Alka Yagnik,pop,103.01,0.709,0.929,0.477,0.0431,0.00648
1XSSm7oKOzNE8oUapjIRWV,"The Punjaabban Song (From ""Jugjugg Jeeyo"")",Tanishk Bagchi;Gippy Grewal;Zahrah S Khan;Romy;Abrar Ul Haq,pop,139.241,0.779,0.964,0.613,0.0858,1.46e-05
4cktbXiXOapiLBMprHFErI,Memories,Maroon 5,pop,91.05,0.775,0.327,0.595,0.841,0.0
2TKYYJSJCYTn8BiSl66WY1,Ghost,Justin Bieber,pop,153.947,0.604,0.741,0.473,0.178,3.49e-05
4qoIqWSly3rnZdCTgtcCMz,Pta Mainu,Harvi,pop,90.047,0.678,0.825,0.631,0.0527,0.0
3UoApjQ4IttQXTAAS5ucKL,Intentions,Justin Bieber;Quavo,pop,148.011,0.813,0.554,0.86,0.315,0.0
1dqe1m4c2ynDGRctTV4Cj8,We’re In This Together,Justin Bieber,pop,149.452,0.706,0.644,0.624,0.125,0.0
0GPeyv1Oj1LbqyFJHM3j4C,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
5LseDWFft6Fhwj5iK4fD5E,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
3DctSNSBYAo95RsDolNRr5,Unstable,Justin Bieber;The Kid LAROI,pop,99.757,0.495,0.333,0.37,0.737,0.0
499GJHKeK9sZLfM03XejN0,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
3AkPOVgTS0WbLqoGQI90ZO,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
5441DT9P5AL05PQSoNMNzS,Loved By You,Justin Bieber;Burna Boy,pop,101.04,0.79,0.724,0.642,0.0696,2.33e-06
3HqSKkoH7DqzfJYrBqvzSq,Rockin' Around The Christmas Tree,Justin Bieber,pop,151.592,0.464,0.642,0.828,0.0189,0.0
0E25sMDvRSgBT2uTBhYlEn,The Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber;Usher,pop,103.267,0.533,0.426,0.152,0.46,0.0
7wNeq4RKcnjjTbEF5K9qAR,Christmas Eve,Justin Bieber,pop,128.657,0.409,0.57,0.336,0.687,0.0
6ovqCJRzKl9JxdR0pR5We4,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
4FGHEIVVqRiwQtAo6E2NVc,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
2XfkKphS1o6JF9N3AZbVju,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
2YJYQ33hpW4gFKVJO66WUU,Christmas Eve,Justin Bieber,pop,128.657,0.409,0.57,0.336,0.687,0.0
3wwapjKCuyoonczLpxoBtR,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
4NL80qFf29d0omq2lxwVTM,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
4Gy90juUbAVzp5S5hJnCcj,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
3RSwBnFm7AdrPp1ii0q6Ua,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
6EqRZzXK89sFBZBxLRPTZe,Christmas Eve,Justin Bieber,pop,128.657,0.409,0.57,0.336,0.687,0.0
1lckJrIAh5HzJxI4PbronK,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
7rtCj2OfL0GChOsaSgUCWq,Rockin' Around The Christmas Tree,Justin Bieber,pop,151.592,0.464,0.642,0.828,0.0189,0.0
0MLVUkrPCpViDnl0R9dCpp,Friends,Justin Bieber;BloodPop®,pop,104.979,0.743,0.735,0.631,0.00389,0.0
7rNId4ShHsjyDQJpiLb3Ja,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
3VwSdodE7YJzbpF4DQRtAX,The Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber;Usher,pop,103.267,0.533,0.426,0.152,0.46,0.0
21ox43RiEnhW9T398iSgAN,Christmas Eve,Justin Bieber,pop,128.657,0.409,0.57,0.336,0.687,0.0
4IcUp3kORzPyqQgmJjFIMy,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
0K44Tg7YUxocXe237lbwkO,The Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber;Usher,pop,103.267,0.533,0.426,0.152,0.46,0.0
19aub7KyVL62BfIF0stNXp,The Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber;Usher,pop,103.267,0.533,0.426,0.152,0.46,0.0
7BhAdDWaUxtdeGkjqZEoi7,Santa Claus Is Coming To Town,Justin Bieber,pop,104.998,0.639,0.836,0.814,0.027,0.0
51E5LzhlwzrPSyE07df48k,The Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber;Usher,pop,103.267,0.533,0.426,0.152,0.46,0.0
6SKTHwAjQ2sEJSEcSm2N3v,Santa Claus Is Coming To Town,Justin Bieber,pop,104.998,0.639,0.836,0.814,0.027,0.0
1G1Z9hpmbR5yRBBFRzu5D3,Drummer Boy,Justin Bieber;Busta Rhymes,pop,122.991,0.752,0.85,0.491,0.025,0.000131
1WOz8NwADXFxRADQFVftxp,Jawani,Arjan Dhillon,pop,99.944,0.782,0.69,0.429,0.00909,0.000661
0mJTAdmY8olbGQjopDYff3,Vaaste,Dhvani Bhanushali;Nikhil D'Souza;Tanishk Bagchi,pop,89.892,0.444,0.479,0.315,0.454,0.0
65mavBQC23K0lwptINTQSc,Ghost,Justin Bieber,pop,153.947,0.604,0.741,0.473,0.178,3.49e-05
73fB76b5IKh2oG41lx1FxP,Ghost,Justin Bieber,pop,153.947,0.604,0.741,0.473,0.178,3.49e-05
1gMnyo0OUAL6HDJ39lyVwU,Hold On,Justin Bieber,pop,139.98,0.658,0.634,0.29,0.0106,0.0
0DmPtzVhTUfxRP9zXtA6uO,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
0Jj3HijYvpp6UBVJeQPNQh,Come Around Me,Justin Bieber,pop,157.944,0.648,0.681,0.766,0.263,0.00761
12KqDRZ0KkpLPwxd54Zz4F,Fa La La,Justin Bieber;Boyz II Men,pop,94.489,0.658,0.679,0.42,0.0207,3.15e-06
53S98SFeRSxjd7F7eUnfAJ,Teri Hogaiyaan,Vishal Mishra,pop,106.322,0.404,0.43,0.51,0.779,0.000172
1JyC0QIAcBdBZPtrv1glty,All Around Me,Justin Bieber,pop,117.148,0.53,0.438,0.694,0.811,0.0
1i5nDFmDSi8Q3UPRVnbc03,One Time,Justin Bieber,pop,145.966,0.69,0.856,0.74,0.0689,7.82e-05
0PDwgRrbKYOgZS82F8uvPt,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
7eLvCsLfaeSHeezjOwJ96E,Yummy,Justin Bieber,pop,145.843,0.677,0.506,0.497,0.345,0.0
6i4sOuqGddexGBNkXU32HW,Christmas Eve,Justin Bieber,pop,128.657,0.409,0.57,0.336,0.687,0.0
1ghIWsWQL2ZcwCuPagxPrt,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
15KMnEWDdjBXMuGhYAZmkQ,We’re In This Together,Justin Bieber,pop,149.452,0.706,0.644,0.624,0.125,0.0
5hfOZvJa7x89N74kESpVuO,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
3ATMIyGvkoR8yTeqFCiHFl,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
4oGJXrQZrDehnZX6NT5MPn,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
6TdgEGiJ9hJfo9imnoNYCU,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
2XQ4M3VzV8M1Rj6k7w0p2g,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
136ta0ZoXaKDc7wZHFs78b,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
4M6EtKQcXZIw1DgutjsLfs,Christmas Eve,Justin Bieber,pop,128.657,0.409,0.57,0.336,0.687,0.0
6nyyEkZKodLYjcVfXxxwe1,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
6LSNUoYJIOKQiJTlhh1gtu,The Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber;Usher,pop,103.267,0.533,0.426,0.152,0.46,0.0
7L45FaJtYVIlQP8UlqYom2,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
0EtwxDYKlVgtoa4FNL9JiZ,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
3AcMDsHW30eDnGjDfiqCLS,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
4ov51gsBbA32vSn4l49sOB,The Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber;Usher,pop,103.267,0.533,0.426,0.152,0.46,0.0
6Gf1FRzam7wnRSXeQ8rGok,The Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber;Usher,pop,103.267,0.533,0.426,0.152,0.46,0.0
4PPJY2E8YwiDSaiug98qIp,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
3Q3dm9m4kCaQqGB4pXXn9l,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
14iyReKP9dQq6V9ByOoyWx,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
1z1K4ZuV39v0f59iZlBaTL,Fa La La,Justin Bieber;Boyz II Men,pop,94.489,0.658,0.679,0.42,0.0207,3.15e-06
7cC4Y0jQZ4eRoRqRQIau1x,Sorry,Justin Bieber,pop,100.035,0.679,0.748,0.438,0.0878,0.0
7CX8mBRemEzscIgLgzqK7d,Mistletoe,Justin Bieber,pop,161.948,0.623,0.668,0.823,0.475,0.0
